IDFILE,sampleID,cartridgeID,phenotype,experimental_unit,origin,study
20250605_6_5_2025_C_Ova_07.RCC,C_Ova_07,20250605,ovarian_cancer,C_OV,cell_culture,Cancer
20250605_6_5_2025_C_Ovb_08.RCC,C_Ovb_08,20250605,ovarian_cancer,C_OV,cell_culture,Cancer
20250605_6_5_2025_C_Ovc_09.RCC,C_Ovc_09,20250605,ovarian_cancer,C_OV,cell_culture,Cancer
20250530_5_30_2025_O_21a_01.RCC,O_21a_01,20250530,ovarian_cancer,O_21,cell_culture,Cancer
20250530_5_30_2025_O_21b_02.RCC,O_21b_02,20250530,ovarian_cancer,O_21,cell_culture,Cancer
20250530_5_30_2025_O_21c_03.RCC,O_21c_03,20250530,ovarian_cancer,O_21,cell_culture,Cancer
20250605_6_5_2025_O_R3A_01.RCC,O_R3A_01,20250605,ovarian_cancer,O_R3,cell_culture,Cancer
20250605_6_5_2025_O_R3b_02.RCC,O_R3b_02,20250605,ovarian_cancer,O_R3,cell_culture,Cancer
20250605_6_5_2025_O_R3c_03.RCC,O_R3c_03,20250605,ovarian_cancer,O_R3,cell_culture,Cancer
20250530_5_30_2025_O_R5a_04.RCC,O_R5a_04,20250530,ovarian_cancer,O_R5,cell_culture,Cancer
20250530_5_30_2025_O_R5b_05.RCC,O_R5b_05,20250530,ovarian_cancer,O_R5,cell_culture,Cancer
20250530_5_30_2025_O_R5c_06.RCC,O_R5c_06,20250530,ovarian_cancer,O_R5,cell_culture,Cancer
20250603_6_3_2025_O_V1a_10.RCC,O_V1a_10,20250603,ovarian_cancer,O_V1,cell_culture,Cancer
20250603_6_3_2025_O_V1b_11.RCC,O_V1b_11,20250603,ovarian_cancer,O_V1,cell_culture,Cancer
20250603_6_3_2025_O_V1c_12.RCC,O_V1c_12,20250603,ovarian_cancer,O_V1,cell_culture,Cancer
20250603_6_3_2025_O_V3a_04.RCC,O_V3a_04,20250603,ovarian_cancer,O_V3,cell_culture,Cancer
20250603_6_3_2025_O_V3b_05.RCC,O_V3b_05,20250603,ovarian_cancer,O_V3,cell_culture,Cancer
20250603_6_3_2025_O_V3c_06.RCC,O_V3c_06,20250603,ovarian_cancer,O_V3,cell_culture,Cancer
20250605_6_5_2025_O_V8a_04.RCC,O_V8a_04,20250605,ovarian_cancer,O_V8,cell_culture,Cancer
20250605_6_5_2025_O_V8b_05.RCC,O_V8b_05,20250605,ovarian_cancer,O_V8,cell_culture,Cancer
20250605_6_5_2025_O_V8c_06.RCC,O_V8c_06,20250605,ovarian_cancer,O_V8,cell_culture,Cancer
20250603_6_3_2025_T_80a_07.RCC,T_80a_07,20250603,ovarian_cancer,T_80,cell_culture,Control
20250603_6_3_2025_T_80b_08.RCC,T_80b_08,20250603,ovarian_cancer,T_80,cell_culture,Control
20250603_6_3_2025_T_80c_09.RCC,T_80c_09,20250603,ovarian_cancer,T_80,cell_culture,Control
20250603_6_3_2025_H_80a_01.RCC,H_80a_01,20250603,cervical_cancer,H_80,cell_culture,Control
20250603_6_3_2025_H_80b_02.RCC,H_80b_02,20250603,cervical_cancer,H_80,cell_culture,Control
20250603_6_3_2025_H_80c_03.RCC,H_80c_03,20250603,cervical_cancer,H_80,cell_culture,Control
